                User   Dropout    Non_Dropout            IPI
               Ho208         1              3      -3.000000
         vivian60409         1              2      -2.000000
         CharlieChan         3              1       0.000000
           night1085         1              0       2.000000
          shuchi0426        36            117      -2.431373
         127D0350051         5              0      -2.800000
            AnitaLai         0              2      -4.000000
              KaoBic         5              0      -4.800000
       patronus24601         0              1      -6.000000
             l953751         1              1      -2.000000
                 HTC         1              0      -4.000000
          cchs112076         0              3      -0.666667
                shih         1              1      -5.000000
         130D0453253         2              4      -0.333333
         106D0409432        14             10      -1.583333
          YanDunWang         7              3      -2.000000
              jclynn         1              1      -4.000000
            Ching118         1              1      -1.000000
              nba168         1              0       2.000000
          bettylu520         1              2       0.000000
         nla19940821         4              7      -1.272727
          WeichenKao         7             18      -0.720000
            rock4306         2              2      -1.500000
         112D0442098         1              1      -4.000000
          jeremy_liu        25              8      -2.787879
               YuGuo         1              1       0.000000
         132D0287828         7             10      -2.352941
             Emily99        25             91      -2.155172
            d0280272         0              7      -2.571429
         107D0340517         5              2      -2.571429
         howard83124         5              0      -3.200000
               AixHo        11             60      -1.943662
              MayChu        21             32      -1.433962
             ymjchen         1              1      -4.000000
             PollyFu         6             65      -0.901408
            g9815721         1             12      -1.692308
             yu159yu        12             32      -2.227273
         105D0379889         1              0       0.000000
              holmes        15             21      -4.388889
            WylieSun         1              0      -4.000000
               Chows         3              0      -5.333333
          zongxianLi         0              4      -3.000000
             Liliane         6             12       0.444444
         127D0350608         1              0       2.000000
          anita30225         3             23      -0.384615
         131D0452798         1              1      -5.000000
            hedy0924         1              0      -4.000000
          weller7890         1              0      -4.000000
           Nico20911        13             50      -1.650794
               tchin         1             10      -2.909091
           104598039         1              1      -1.000000
           spent4588         1              0       0.000000
        joan07079876         0              1      -4.000000
             a84703b         0              1      -4.000000
               ctlee         2              0      -1.000000
             p903315         6             21      -2.074074
                DADA        11              2      -1.384615
              Joanna        24              7      -2.516129
            d0350273         1              0      -4.000000
        meichuanpeng         0              3      -4.000000
          cristineAA         1              0      -6.000000
               elvis         3              1       0.500000
            shareway         3              0      -2.666667
          ClariS5100         1              0      -4.000000
            kindbear         0              6      -3.000000
              Delphy         1              0      -4.000000
       teatea0755918        18             10      -2.642857
          cchs111127         0              2      -1.000000
            ting7663         5              1      -1.000000
                Yoda         1              1      -2.000000
          leos880132        12             29      -1.658537
            jackmans        33             92      -3.040000
          cchs112121         0              3      -2.000000
            D0410358         8             17      -1.360000
          AlbusBrian        12              6      -1.111111
            hopeshop         3              7      -2.000000
          vivian6829        47              5      -1.730769
            SandyGuo         2              0      -2.000000
       aloe787tip264         1              0      -4.000000
          HsinyiShen         0              6      -1.000000
           blacksnow         9              1       1.400000
